MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Twpr,05CM-T295,05CM-T295R,48.99,3.576,12.54,15.16,4.37,8.008,2.772,1.241,0.766,0.226,29.2,65.4,39.5,38.4,420,15.8,19.5,19.1,156.4,23.9,217.8,581.5,,17.7,8.3,31.5,265.6,3.7,,50.6,-9,EvartsOConnorTolan2013,WSU,whole rock,2/10/2006 0:54,45.53939,-122.266636
Twpr,05CM-T296,null,49.36,3.634,12.87,13.77,3.657,8.621,2.572,1.168,0.813,0.331,,,,40.7,427.5,14,16,23,166,,222,1116,,17.7,,36,298,,,51,-9,EvartsOConnorTolan2013,WSU,whole rock,,45.53785,-122.270215
Twpr,05CM-T297,null,48.21,3.579,12.45,15.03,4.39,8.364,2.609,1.267,0.78,0.248,,,,38.3,412.9,15,21,27,162,,226,561,,15.9,,30,288,,,50,-9,EvartsOConnorTolan2013,WSU,whole rock,,45.54077,-122.264787
Twpr,05CM-T307,null,48.82,3.528,12.52,15.27,4.181,7.92,2.807,1.251,0.772,0.259,31.7,67.7,40.3,37.6,408.9,12.8,19,22.5,158.4,21.4,221.4,582.3,,18.3,7.7,33,266.2,3,,52,-9,EvartsOConnorTolan2013,WSU,whole rock,2/7/2006 9:59,45.537364,-122.262272
Tgsbm,05CM-T312,null,53.34,1.925,13.83,11.96,4.747,8.55,2.927,1.126,0.284,0.207,,,,37.4,337.3,22,15,27,117,,156,453,,10.7,,28,320,,,33,-9,EvartsOConnorTolan2013,WSU,whole rock,,45.541279,-122.272497
Tgsbm,06BV-G523A,null,52.87,1.748,13.8,10.93,4.693,8.201,2.857,1.384,0.328,0.196,,,,35.2,301.6,36,15,24,114,,161,536,,10.2,,33,310,,,34,-9,EvartsUnpubBridalVeil,WSU,whole rock,,45.537656,-122.220684
Tgsbm,06BV-G523B,null,54,1.832,14.11,10.63,4.421,8.411,2.951,1.462,0.358,0.204,22.7,49.6,27.2,35.7,306.4,36.2,13.5,26.1,120,20.3,172.2,558.3,,12.6,7.3,33.9,315.1,3.5,1.1,35.6,20,EvartsUnpubBridalVeil,WSU,whole rock,3/12/2010 23:50,45.536926,-122.220714
Tgsbm,06BV-G524,null,53.7,1.803,14.15,10.88,4.599,8.346,2.885,1.279,0.34,0.204,20.5,41.6,22.5,35.6,301.5,37.1,14,24,116.4,20.8,165.7,592.5,,10.3,6.8,36.1,329.4,4.6,,35.1,20,EvartsUnpubBridalVeil,WSU,whole rock,1/28/2007 4:36,45.534556,-122.218594
Twfsh,06BV-G525,null,50.91,2.868,13.08,13.48,4.392,8.148,2.77,1.456,0.565,0.226,22.2,51.5,30.9,36.3,402.6,42.5,19.4,28.5,138.6,21,190.3,573,,14,6.4,36,314.2,5.6,,40.6,20,EvartsUnpubBridalVeil,WSU,whole rock,1/28/2007 5:41,45.532236,-122.219914
Twfsh,06BV-G526A,null,50.17,2.897,12.94,13.72,4.431,8.12,2.734,1.361,0.561,0.225,23.2,55.1,29.1,35.1,410.9,39,19.6,25.9,134.5,20.4,185,557.4,,13.8,5.1,33.3,310.7,2.9,,39.9,20,EvartsUnpubBridalVeil,WSU,whole rock,1/28/2007 6:47,45.536306,-122.215744
Twfsh,06BV-G526B,null,50.5,2.894,13.06,13.45,4.402,8.196,2.772,1.322,0.574,0.226,24,57.8,32.2,37.1,412.7,41.2,19.5,25.7,136.9,20.9,184.4,551.6,,12.8,6.8,32.7,314.4,5.5,,40.2,20,EvartsUnpubBridalVeil,WSU,whole rock,1/28/2007 7:53,45.536136,-122.215604
