MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgo,05BV-G503A,null,55.78,1.935,13.76,11.46,3.532,7.046,3.208,1.785,0.325,0.188,23.1,51.9,26.4,30.4,321.5,14.2,11.6,14.4,122.7,18.8,180.5,699.4,,13.3,9.5,51.1,309.3,4.8,,35.7,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 14:47,45.571526,-122.197414
Tgo,05BV-G503B,null,55.64,1.917,13.69,11.34,3.546,7.034,3.231,1.721,0.319,0.188,24.9,52.4,27.9,31.1,321.3,14.4,12.2,15.7,122.5,22.7,178.6,687.1,,12.3,10.1,49,307.8,3.7,,35.2,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 15:51,45.571476,-122.197284
Tgo,05BV-G506A-2,null,56.42,1.813,13.84,10.53,3.502,7.048,3.083,1.869,0.301,0.185,24.1,57.5,28.8,31.6,301.6,6.9,7.8,10.9,117.7,21.4,184.6,725.4,,11.6,9.9,51.1,317.4,6.7,,36.1,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/2/2007 6:19,45.548326,-122.189334
Tgo,05BV-G506B,null,55.63,1.932,13.78,11.23,3.497,7.03,3.136,1.752,0.322,0.187,26.4,52.7,28.6,32.8,324.8,12.6,9.3,14.7,121.3,20.4,181.4,700.4,,11.1,8.9,49.5,315.7,6.4,,37.2,20,EvartsUnpubBridalVeil,WSU,whole rock,2/2/2007 7:24,45.548326,-122.189834
Tgo,05BV-G507,null,55.75,1.928,13.73,11.23,3.518,7.022,3.246,1.764,0.323,0.189,26.1,51.9,28,30.9,322.2,14.2,11.5,14.6,121.1,22.1,179,692.8,,12.7,10.7,49.8,307.4,3,,34.9,-9,EvartsFleck2017,WSU,whole rock,2/4/2006 17:59,45.656246,-122.009784
Tgo,05BV-G508,null,55.68,1.854,13.64,10.98,3.52,7.062,3.185,1.714,0.326,0.188,24.8,50.3,27.8,32.6,310.4,8.4,9.3,12,120.1,20.6,180.5,686.1,,12.8,9.4,50.3,311,4.5,,35.7,-9,EvartsFleck2017,WSU,whole rock,2/4/2006 19:03,45.649556,-122.005664
Tgo,05BV-G508A,null,55.68,1.854,13.64,10.98,3.52,7.062,3.185,1.714,0.326,0.188,,,,31.2,320.8,6,6,14,124,,187,670,,13.3,,46,307,,,36,-9,EvartsFleck2017,WSU,whole rock,,45.649556,-122.005664
Tgo,05BV-G508B,null,56.49,1.975,13.85,10.58,3.441,6.723,3.36,1.726,0.336,0.16,24.7,52.9,30.3,30.3,312.4,6.3,8.4,12.1,123.1,22.2,193.5,690.8,,12.4,8.6,49.4,324.3,6.2,,36.2,20,EvartsFleck2017,WSU,whole rock,2/2/2007 8:30,45.650906,-122.005264
Tgo,05BV-G509,null,55.73,1.949,13.8,10.77,3.475,7.003,3.156,1.804,0.331,0.186,29.2,51.6,28.2,31.3,323.3,14.8,11,14.6,123.2,22.8,181.1,722.5,,12.4,9.1,51.5,321.9,4.6,,35.5,-9,EvartsFleck2017,WSU,whole rock,2/4/2006 20:07,45.649176,-122.006204
Tgwr,05BV-G510,null,54.51,2.348,13.43,12.35,3.43,7.007,3.152,1.742,0.4,0.2,27.5,52.5,29.6,31,376.4,8.8,12.7,20.1,127.4,21.6,186.1,710.2,,13.6,9.7,50.7,329.1,3.2,,39.3,-9,EvartsFleck2017,WSU,whole rock,2/4/2006 21:10,45.648986,-122.009464
Tgo,05BV-G529,null,54.16,1.985,13.38,11.48,3.562,7.032,3.076,1.689,0.35,0.199,,,,31.9,331.4,14,12,19,122,,181,656,,11.5,,47,310,,,36,-9,EvartsUnpubBridalVeil,WSU,whole rock,,45.547086,-122.198084
Twpr,05CM-T294A,null,49.02,3.61,12.79,14.54,4.505,8.523,2.663,1.308,0.808,0.255,,,,39.3,422.6,15,20,22,160,,221,547,,17.8,,30,285,,,51,-9,EvartsOConnorTolan2013,WSU,whole rock,,45.540105,-122.267225
Twpr,05CM-T295,null,48.91,3.574,12.54,15.1,4.383,8.007,2.778,1.235,0.763,0.225,27.7,62.9,39.8,38.8,417.1,14.3,18.9,19.9,151.4,22.1,218.4,576.4,,18,8.1,30.7,266,2,,51.3,-9,EvartsOConnorTolan2013,WSU,whole rock,2/7/2006 7:52,45.53939,-122.266636
